寺院名,住所,検索住所,緯度,経度
大信寺,埼玉県川口市前上町2-24,埼玉県川口市前上町,35.8345325,139.7148728
勧行寺,神奈川県鎌倉市腰越2-19-15,神奈川県鎌倉市腰越,35.3083817,139.4932077
メモリアルすぎと・用中寺,埼玉県北葛飾郡杉戸町杉戸4丁目10-23,埼玉県北葛飾郡杉戸町杉戸,36.03907,139.727484
眞乗寺,埼玉県さいたま市南区松本1-18-5,埼玉県さいたま市南区松本,35.8320039,139.6317591
一乗院,埼玉県朝霞市膝折町1丁目16-17,埼玉県朝霞市膝折町,35.7786369,139.5903166
高蔵寺,千葉県木更津市矢那1245,千葉県木更津市矢那,35.3425184,139.9746087
放光寺,埼玉県鴻巣市糠田1435,埼玉県鴻巣市糠田,36.063041,139.482033
花光院,千葉県野田市目吹473,千葉県野田市目吹,35.969371,139.892207
観音寺,埼玉県さいたま市西区中野林210-1,埼玉県さいたま市西区中野林,35.892519,139.588012
玉泉寺,神奈川県小田原市田島577番地,神奈川県小田原市田島,35.294865,139.199323
浄安寺,埼玉県さいたま市岩槻区本町5-11-46,埼玉県さいたま市岩槻区本町,35.9586855,139.7066328
大慶寺,群馬県太田市新田大根町1000,群馬県太田市新田大根町,36.3127305,139.2848396
仁叟寺,群馬県高崎市吉井町神保1295,群馬県高崎市吉井町神保,36.242229,138.975441
金澤寺,埼玉県比企郡鳩山町泉井1376,埼玉県比企郡鳩山町泉井,35.9965381,139.3210703
妙楽院,埼玉県春日部市粕壁3丁目4-38,埼玉県春日部市粕壁,35.9825382,139.7448706
善教寺,神奈川県海老名市杉久保北2-5-7,神奈川県海老名市杉久保北,35.4276328,139.4016533
法華寺,山梨県甲府市武田1丁目-4-34,山梨県甲府市武田,35.6722647,138.5708353
高応寺,埼玉県三郷市早稲田2-14-4,埼玉県三郷市早稲田,35.8573382,139.8752546
西浄寺,埼玉県加須市砂原2187,埼玉県加須市砂原,36.1636131,139.6458757
常光寺,埼玉県幸手市中2-6-35,埼玉県幸手市中,36.0813521,139.778943
密蔵院,神奈川県横浜市磯子区滝頭3-13-5,神奈川県横浜市磯子区滝頭,35.419153,139.625304
涌泉寺,山梨県甲州市塩山赤尾745,山梨県甲州市塩山赤尾,35.702445,138.7382321
無極寺,岩手県陸前高田市竹駒町字下壺153,岩手県陸前高田市竹駒町,39.0443216,141.6151782
黒髪山大智院,長崎県佐世保市戸尾町9-8,長崎県佐世保市戸尾町,33.168841,129.725377
東光禅寺,神奈川県横浜市金沢区釜利谷南2-40-8,神奈川県横浜市金沢区,35.3380567,139.6244767
観音院,群馬県桐生市東2-13-18,群馬県桐生市東,36.4088123,139.3295383
慈眼院,埼玉県比企郡川島町角泉110,埼玉県比企郡川島町角泉,35.9615158,139.4827639
